Unnamed: 0;Clothing.ID;Age;Title;Review.Text;Rating;Recommended.IND;Positive.Feedback.Count;Division.Name;Department.Name;Class.Name;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Review.Sentiment;Title.Sentiment;Review.Sentiment.Numeric;Title.Sentiment.Numeric
1;767;33;Absolutely wonderful - silky and sexy and comfortable;4;1.0;0;Initmates;Intimate;Intimates;;;;;;;;;;negative;positive;-1;1
5;847;47;Flattering shirt;This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!;5.0;1;6;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
9;1077;24;Flattering;I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.;5.0;1;0;General;Dresses;Dresses;;;;;;;;;positive;positive;1;1
11;1077;53;Dress looks like it's made of cheap material;Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.;3.0;0;14;General;Dresses;Dresses;;;;;;;;;neutral;negative;0;-1
12;1095;39;This dress is perfection! so pretty and flattering.;5;1.0;2;General Petite;Dresses;Dresses;;;;;;;;;;negative;positive;-1;1
15;1077;50;Pretty party dress with some issues;This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the problem with this dress is the quality. the fabrics are terrible. the delicate netting type fabric on the top layer of skirt got stuck in the zip;3.0;1;1;General;Dresses;Dresses;;;;;;;;;positive;positive;1;1
18;853;41;Looks great with white pants;Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.;5.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
27;949;33;Huge disappointment;I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh;2.0;0;0;General;Tops;Sweaters;;;;;;;;;negative;negative;-1;-1
29;684;53;Great shirt!!!;I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....;5.0;1;2;Initmates;Intimate;Lounge;;;;;;;;;negative;positive;-1;1
31;1060;33;Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!;5;1.0;0;General Petite;Bottoms;Pants;;;;;;;;;;negative;positive;-1;1
33;1060;21;Love these pants;These pants are even better in person. the only downside is that they need to be dry cleaned.;5.0;1;0;General Petite;Bottoms;Pants;;;;;;;;;positive;positive;1;1
39;684;36;Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.;5;1.0;2;Initmates;Intimate;Lounge;;;;;;;;;;negative;negative;-1;-1
40;862;59;Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.;5;1.0;0;General;Tops;Knits;;;;;;;;;;negative;positive;-1;1
46;862;43;Love the two tone design;I bought this item from online... the fit on the model looked a little loose but when i got mine it seemed a bit tight! so i took it back to the store & ordered a larger size. for the sale price this is a great top.;4.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
47;862;40;I love this top. i wear it all the time.  the problem is that you can tell i wear it all the time as the fabric has started to fade.  i'd still recommend it as it is so comfortable.;5;1.0;0;General;Tops;Knits;;;;;;;;;;negative;negative;-1;-1
56;862;61;Soft and cute as can be!;This is an adorable top that i find to be extremely comfortable. i don't usually buy prints but this one is so feminine and looks great with dark wash jeans. i am a 36d and the medium was a perfect fit.;5.0;1;2;General;Tops;Knits;;;;;;;;;positive;positive;1;1
63;862;28;Must have;I recently got this on sale after looking at it forever on my wish list. i'm so happy with it. its very comfortable and just long enough for my torso (5'3). the pattern on the front is very flattering.;5.0;1;0;General;Tops;Knits;;;;;;;;;positive;negative;1;-1
65;862;43;Love this top;Loved this top and was really happy to find it on sale!;5.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
75;1081;59;I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. i was surprised how much cuter it is on than on hanger. i sized down to get a more fitting look and really made a difference for me in style. i was not a fan of the way it looked so loose on model. it looks really cute fitted and a bit sexy even. it is lined and very comfy and can be dressed up a but for work with a cardi. i believe i will get a lot of wear;5;1.0;1;General Petite;Dresses;Dresses;;;;;;;;;;negative;negative;-1;-1
79;836;47;Obsessed;I usually size up with this brand. small was perfect for me at 135lbs. this top has a luxurious but casual feel and beautiful. i am obsessed and want to wear it everyday. it wears a little long and drapey but a little tight where it rolls up in the arms.;5.0;1;1;General;Tops;Blouses;;;;;;;;;positive;negative;1;-1
82;863;61;Loved this top. great design. comfortable and unique. soft material;5;1.0;4;General Petite;Tops;Knits;;;;;;;;;;negative;positive;-1;1
93;861;23;5;1;0.0;General Petite;Tops;Knits;;;;;;;;;;;negative;negative;-1;-1
94;1081;31;5;1;0.0;General;Dresses;Dresses;;;;;;;;;;;negative;negative;-1;-1
99;1133;50;5;1;0.0;General;Jackets;Outerwear;;;;;;;;;;;negative;negative;-1;-1
103;822;69;Stunning lace top;This top is absolutely stunning. i purchased the white one. just received and it fits nicely-a little on the big side but i believe it looks better that way. this will look great with everything. it is well constructed and looks very unique. love it!;5.0;1;2;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
104;822;23;Not a fan;The fabric felt cheap and i didn't find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40.;2.0;0;9;General;Tops;Blouses;;;;;;;;;negative;negative;-1;-1
107;836;47;Beautiful shirt but runs small!;Was so excited to order this beautiful shirt!  and the color sky is gorgeous!  but as another reviewer said--it runs small.  it was also way too short.  so sadly i will be returning this.  i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.;4.0;1;11;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
108;836;66;Beautiful;I ordered ivory in xl because this brand tends to run tight if you're well endowed. it's a beautiful color and i love the contrasting plaid lining the inside of the collar and cuffs. haven't decided about keeping it because it looks oversized (but cozy) and it's really long. it almost touches the top of my knees in back. sooooo pretty though.;4.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
111;861;44;Poor quality;This is so thin and poor quality. especially for the price. it felt like a thin pajama top. the buttons are terrible little shell buttons. this could not have been returned faster.;1.0;0;11;General Petite;Tops;Knits;;;;;;;;;negative;negative;-1;-1
112;1081;44;An almost for me...;"I didn't end up keeping this dress...it just wasn't right for me. it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me. i ordered the petite xs and liked the length in front and back well but the side slit/vent was just too high for my liking. the tie part hit at the perfect spot for me at only 5'4"" (~118#). i guess i just didn't ""love"" it and would rather save my funds for something i ca";3.0;1;4;General;Dresses;Dresses;;;;;;;;;neutral;negative;0;-1
114;1081;61;Cute and comfy;"This dress is comfortable and stylish at the same time. it runs true to size. i'm 5'1"" 113 lbs and got the xs petite. wore it once so far for a few hours and got a few compliments on it!";5.0;1;3;General;Dresses;Dresses;;;;;;;;;positive;positive;1;1
122;966;63;Great look and you can wear this vest with almost everything . i normally wear a small but they only had mediums and it fit fine( i like it tied). this will stay in my closet all year round . it does look like it will wrinkle easily but that doesn't bother me . a must buy !;5;1.0;0;General;Jackets;Jackets;;;;;;;;;;negative;negative;-1;-1
130;863;28;Great top;This top is super comfy and casual. the slit/design in the front gives it more of a stylish look than your average white long sleeve tee. would definitely recommend.;5.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
136;861;35;4;1;0.0;General Petite;Tops;Knits;;;;;;;;;;;negative;negative;-1;-1
138;836;52;Runs short;I received the sky color in m online.  am definetly keeping it as it is beautiful.  however i wish they had made it a little less wide and more long.  i am 5 3 and could totally size down to a s but even at my height it would be too short.  i like crop tops and waist hitting tops a lot.  but the shortness on this one just looks like it shrunk in the dryer;4.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
139;126;34;Feminine alternative to your shapeless puffer;I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh;4.0;1;1;Initmates;Intimate;Lounge;;;;;;;;;positive;positive;1;1
143;1126;35;5;1;0.0;General;Jackets;Outerwear;;;;;;;;;;;negative;negative;-1;-1
144;1008;51;Great classic;Ii'm not usually big on lace but this is so unique and versatile that i went for it. looks good dressed up w/a nice top or casual w/a tee. can be worn practically all year. love it!;5.0;1;0;General;Bottoms;Skirts;;;;;;;;;positive;positive;1;1
148;1011;47;Cute skirt!;I purchased this skirt at retailer store in texas. i fell in love since i saw it. the fabric is nice and the colors are pretty and cheerful for this spring/summer !! and it has pockets on the sides! don't we love pockets? very practical and lightweight;5.0;1;1;General;Bottoms;Skirts;;;;;;;;;positive;positive;1;1
154;829;36;Fair;The top as with most of ap's tops is well stitched. material is very uncomfortable. if you have large bust it is a little divulging. this may prompt you to wear something underneath to look modest and change the shape of the top!;3.0;1;1;General;Tops;Blouses;;;;;;;;;negative;negative;-1;-1
156;829;48;Beautiful colors;This top is so much better in person. i do not agree with some of the other reviews about the fabric being scratchy. it is not and i have sensitive skin. i love this top and have got lots of compliments.;5.0;1;0;General Petite;Tops;Blouses;;;;;;;;;positive;positive;1;1
158;523;43;Australian sizing!!;So  disappointed that no where in the limiting did it mention this suit is australian in size!! i ordered the 10 (i'm usually an 8 but that was sold out) and the suit arrives and doesn't even fir over my hips. -- the label clearly says 10 australian us 6!  gutted that i have to return this suit because of this sizing issue.  the suit looks to be well made and the design is adorable of it only for.;3.0;0;2;Initmates;Intimate;Swim;;;;;;;;;negative;negative;-1;-1
159;829;53;I saw this top online and read the reviews so i passed when i went into the store. when i went in again i thought i would give it a try. so glad i did ! it fits great and is way way prettier in person ! i ended up buying it and so glad i did !;4;1.0;7;General Petite;Tops;Blouses;;;;;;;;;;negative;negative;-1;-1
164;1008;52;Classy and cute;The online picture does not do this skirt justice. it's very pretty and unique in design. i think it should be worn with a tighter shirt that is tucked in unlike the picture. this is truly a pretty pencil skirt.;5.0;1;7;General;Bottoms;Skirts;;;;;;;;;positive;positive;1;1
166;829;35;3;0;0.0;General Petite;Tops;Blouses;;;;;;;;;;;negative;negative;-1;-1
168;895;55;Great purchase;This will be perfect for the mild fall weather in texas. it's light weight and i love that the top is a little more fitted and the bottom swings out.;5.0;1;0;General;Tops;Fine gauge;;;;;;;;;positive;positive;1;1
169;862;40;5;1;0.0;General;Tops;Knits;;;;;;;;;;;negative;negative;-1;-1
171;670;36;Fun;These pants are fun! i use them as sleep pants. i had to size up because the waist band was a little tight for comfort.;5.0;1;0;Initmates;Intimate;Sleep;;;;;;;;;positive;positive;1;1
